Date : 2024-07-07 13:43:39
Directory : c:\Users\mawen\Dev\GitHub\Study
Total : 468 files,  108703 codes, 1789 comments, 38510 blanks, all 149002 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\env_version.go                             | Go               |        300 |         38 |         35 |        373 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\is_gray_to2.go                             | Go               |         20 |          0 |          5 |         25 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\language.go                                | Go               |         48 |          7 |          7 |         62 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\version.go                                 | Go               |        178 |         75 |         21 |        274 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mongo-to-mysql\version-console\whitelist.go                               | Go               |         44 |          7 |          6 |         57 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\README.md                                                  | Markdown         |         20 |          0 |          1 |         21 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\activities.go                                              | Go               |         92 |          8 |         14 |        114 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\ad_material\ad_material.go                                 | Go               |         80 |         15 |          9 |        104 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\ad_material\ad_material_sync_success.go                    | Go               |        278 |         29 |         18 |        325 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\ad_material\update_success_id.sql                          | SQL              |      7,310 |         26 |          1 |      7,337 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\ad_material\update_success_id_recover.sql                  | SQL              |      7,336 |          0 |          1 |      7,337 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\command.go                                                 | Go               |         76 |          7 |         11 |         94 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\gameConfigs_to_gmConfig.go                                 | Go               |         70 |          7 |          8 |         85 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\gm_config.go                                               | Go               |        102 |         13 |         12 |        127 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\mail_goods.go                                              | Go               |         65 |          8 |         10 |         83 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\mysql-to-mysql\mails.go                                                   | Go               |        110 |          8 |          9 |        127 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\postgreSQL-to-mysql\bi-console\cfg_event_params_value.go                  | Go               |         82 |         38 |         22 |        142 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\postgreSQL-to-mysql\bi-console\cfg_event_params_value2.go                 | Go               |         76 |         24 |         16 |        116 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\postgreSQL-to-mysql\bi-console\cfg_event_params_value3.go                 | Go               |         81 |         50 |         17 |        148 |
| c:\Users\mawen\Dev\GitHub\Study\project\data-sync\postgreSQL-to-mysql\bi-console\cfg_event_params_value4.go                 | Go               |         97 |         24 |         18 |        139 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\golang递归实现类别树(CategoryTree).md                                                   | Markdown         |        575 |          0 |         30 |        605 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\ip.go                                                                            | Go               |         39 |          0 |          9 |         48 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\tiktok广告\上传图片.go                                                                 | Go               |         58 |          5 |          4 |         67 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\tiktok广告\上传视频.go                                                                 | Go               |         98 |          5 |          9 |        112 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\tiktok广告\搜索视频.go                                                                 | Go               |         79 |          1 |          8 |         88 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Aarki\reporting.go                                                          | Go               |         72 |          0 |          7 |         79 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Blind Ferret\blind-ferret.go                                                | Go               |        110 |          3 |          8 |        121 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Tapjoy\getReport.go                                                         | Go               |        108 |         22 |         14 |        144 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Taurusx\token.go                                                            | Go               |         21 |          3 |          8 |         32 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Taurusx\广告创意信息.go                                                           | Go               |         86 |          3 |         13 |        102 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Taurusx\广告投放报表.go                                                           | Go               |         89 |         11 |         14 |        114 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Taurusx\广告组.go                                                              | Go               |         91 |          3 |         13 |        107 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\Taurusx\推广信息.go                                                             | Go               |         72 |          3 |         13 |         88 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\appier\appier.go                                                            | Go               |         48 |          0 |          6 |         54 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\bigo\3.2 广告系列查询接口.go                                                        | Go               |         62 |          0 |          6 |         68 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\bigo\3.3 广告组查询接口.go                                                         | Go               |        101 |          0 |          6 |        107 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\bigo\3.5 报表查询接口.go                                                          | Go               |         82 |          0 |          7 |         89 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\bigo\Base64.encode.go                                                       | Go               |         13 |          2 |          5 |         20 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\bigo\刷新access_token.go                                                      | Go               |         51 |          3 |          9 |         63 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\chartboost\campaign.go                                                      | Go               |         39 |          1 |          5 |         45 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\chartboost\job-status.go                                                    | Go               |         38 |          1 |          6 |         45 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\chartboost\pull the data.go                                                 | Go               |        116 |         10 |         11 |        137 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\chartboost\pull the data3.go                                                | Go               |        101 |          8 |          5 |        114 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\liftoff\1、reports.go                                                        | Go               |         84 |          2 |          7 |         93 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\liftoff\2、reports-status.go                                                 | Go               |         69 |          2 |          8 |         79 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\liftoff\3、reports-data.go                                                   | Go               |        104 |          9 |         12 |        125 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\liftoff\4、get-campaigns.go                                                  | Go               |         51 |          4 |          7 |         62 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\liftoff\6、get-creatives.go                                                  | Go               |         50 |          4 |          7 |         61 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\mintegral\pull the data.go                                                  | Go               |        102 |          8 |         14 |        124 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\mintegral\token.go                                                          | Go               |         14 |          0 |          3 |         17 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\阳光短剧\decode.go                                                              | Go               |         83 |         44 |         19 |        146 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\阳光短剧\txt.go                                                                 | Go               |         20 |          5 |          8 |         33 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\阳光短剧\渠道列表查询接口(新).go                                                         | Go               |         47 |          4 |          7 |         58 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\阳光短剧\用户数据查询.go                                                              | Go               |         51 |         12 |          9 |         72 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\三方抓数\阳光短剧\订单数据查询.go                                                              | Go               |         51 |         12 |          9 |         72 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\加密excel\sha256.go                                                                | Go               |         46 |         17 |         18 |         81 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\增量更新从Facebook获取的广告业务.md                                                          | Markdown         |      1,072 |          0 |        136 |      1,208 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\字节广告\images\images.go                                                            | Go               |        130 |          5 |         10 |        145 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\字节广告\images\images2.go                                                           | Go               |         56 |          0 |          9 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\字节广告\token\刷新Refresh Token.go                                                    | Go               |         51 |          9 |          5 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\字节广告\vedio\vedio.go                                                              | Go               |        124 |          5 |         10 |        139 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\字节广告\vedio\vedio2.go                                                             | Go               |         54 |          7 |         10 |         71 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\小游戏归因\巨量\微信\signature.go                                                         | Go               |         70 |          0 |         12 |         82 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\打点\数数\退款打点.go                                                                    | Go               |         63 |          8 |         12 |         83 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\腾讯广告\images\go-sdk-添加图片文件.go                                                     | Go               |         53 |         10 |         10 |         73 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\腾讯广告\images\image.go                                                             | Go               |         77 |          1 |          7 |         85 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\腾讯广告\vedio\go-sdk-添加视频文件.go                                                      | Go               |         89 |         17 |         17 |        123 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\腾讯广告\vedio\vedio.go                                                              | Go               |         66 |          0 |          5 |         71 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\腾讯广告\资产授权\资产权限授予.go                                                              | Go               |         53 |          9 |          8 |         70 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\飞书多维表格\token\tenant_access_token.go                                              | Go               |         37 |          4 |          4 |         45 |
| c:\Users\mawen\Dev\GitHub\Study\project\业务\飞书多维表格\新增记录.go                                                                   | Go               |          3 |         10 |          2 |         15 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\CodeReview规则.md                                                                  | Markdown         |         58 |          0 |         30 |         88 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\Golang开发规约.md                                                                    | Markdown         |         38 |          0 |          0 |         38 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\Go风格指南.md                                                                        | Markdown         |        146 |          0 |         57 |        203 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\github flow 推荐流程.md                                                              | Markdown         |         14 |          0 |          4 |         18 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\git规范\ARNING REMOTE HOST IDENTIFICATION HAS CHANGED.md                           | Markdown         |         24 |          0 |         14 |         38 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\git规范\新需求开发和分支管理.md                                                              | Markdown         |         11 |          0 |          2 |         13 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\数据库的设计规范.md                                                                      | Markdown         |         84 |          0 |         14 |         98 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\阿里官方 Redis 开发规范.md                                                               | Markdown         |        200 |          0 |         95 |        295 |
| c:\Users\mawen\Dev\GitHub\Study\project\规范\项目开发规范.md                                                                        | Markdown         |        840 |          0 |        903 |      1,743 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\Golang根据指定的两个字段，批量删除数据库中的相关记录.md                                            | Markdown         |        128 |          0 |         34 |        162 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\Oauth2.0\OAuth2.0原理及Marketing-API使用.md                                      | Markdown         |         72 |          0 |         24 |         96 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\Oauth2.0\Oauth2.0授权及golang实现.md                                             | Markdown         |         59 |          0 |         20 |         79 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\PG VS Mysql.md                                                              | Markdown         |         85 |          0 |         47 |        132 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\Tidb.md                                                                     | Markdown         |         56 |          0 |         36 |         92 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\content-type.md                                                             | Markdown         |         31 |          0 |         20 |         51 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\golang使用信号量并发安全的迁移千万条数据.md                                                  | Markdown         |        198 |          0 |         69 |        267 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\golang实现根据图片url转成File.md                                                    | Markdown         |         49 |          0 |         13 |         62 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\golang迁移1亿条mysql数据.md                                                       | Markdown         |         74 |          0 |         13 |         87 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\go实现判断当两个参数确定时,第三个参数必须是唯一的.md                                               | Markdown         |         94 |          0 |         38 |        132 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\分类标签tree.md                                                                 | Markdown         |        262 |          0 |         26 |        288 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\国内支付前后端方案调研.md                                                              | Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\图片-文字-动图敏感过滤.md                                                             | Markdown         |         43 |          0 |         51 |         94 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\基于RBAC的用户权限管理系统.md                                                          | Markdown         |        230 |          0 |         96 |        326 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\对象存储 OSS.md                                                                 | Markdown         |        109 |          0 |         68 |        177 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\登录方案调研.md                                                                   | Markdown         |         90 |          0 |         50 |        140 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\第三方登录.md                                                                    | Markdown         |        288 |          0 |         90 |        378 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\钉钉发送工作消息通知.md                                                               | Markdown         |        207 |          0 |         35 |        242 |
| c:\Users\mawen\Dev\GitHub\Study\project\设计方案及调研\高并发系统设计.md                                                                  | Markdown         |         83 |          0 |         76 |        159 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\J2EE基础知识.md                                                                   | Markdown         |        183 |          0 |        110 |        293 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\basis\RESTfulAPI.md                                                           | Markdown         |        117 |          0 |         63 |        180 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\basis\naming.md                                                               | Markdown         |        157 |          0 |         95 |        252 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\basis\refactoring.md                                                          | Markdown         |         80 |          0 |         65 |        145 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\basis\software-engineering.md                                                 | Markdown         |         55 |          0 |         46 |        101 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\basis\unit-test.md                                                            | Markdown         |         78 |          0 |         61 |        139 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\design-pattern.md                                                             | Markdown         |         17 |          0 |          6 |         23 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\mybatis\mybatis-interview.md                                        | Markdown         |        204 |          0 |        117 |        321 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\netty.md                                                            | Markdown         |          8 |          0 |          4 |         12 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\ioc-and-aop.md                                               | Markdown         |        147 |          0 |         67 |        214 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\spring-boot-auto-assembly-principles.md                      | Markdown         |        227 |          0 |         99 |        326 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\spring-common-annotations.md                                 | Markdown         |        710 |          0 |        253 |        963 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\spring-design-patterns-summary.md                            | Markdown         |        242 |          0 |        114 |        356 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\spring-knowledge-and-questions-summary.md                    | Markdown         |        720 |          0 |        331 |      1,051 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\spring-transaction.md                                        | Markdown         |        513 |          0 |        207 |        720 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\springboot-knowledge-and-questions-summary.md                | Markdown         |          9 |          0 |          4 |         13 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\framework\spring\springboot-source-code.md                                    | Markdown         |         10 |          0 |          5 |         15 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\schedule-task.md                                                              | Markdown         |        260 |          0 |        125 |        385 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\advantages-and-disadvantages-of-jwt.md                               | Markdown         |        117 |          0 |         74 |        191 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\basis-of-authority-certification.md                                  | Markdown         |        155 |          0 |        102 |        257 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\data-desensitization.md                                              | Markdown         |        387 |          0 |         97 |        484 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\design-of-authority-system.md                                        | Markdown         |        128 |          0 |         86 |        214 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\encryption-algorithms.md                                             | Markdown         |        265 |          0 |        111 |        376 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\jwt-intro.md                                                         | Markdown         |        110 |          0 |         59 |        169 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\sentive-words-filter.md                                              | Markdown         |         74 |          0 |         35 |        109 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\security\sso-intro.md                                                         | Markdown         |         78 |          0 |         47 |        125 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\system-design-questions.md                                                    | Markdown         |          9 |          0 |          5 |         14 |
| c:\Users\mawen\Dev\GitHub\Study\system-design\web-real-time-message-push.md                                                 | Markdown         |        369 |          0 |        110 |        479 |
| c:\Users\mawen\Dev\GitHub\Study\tools\gradle\gradle-core-concepts.md                                                        | Markdown         |        211 |          0 |         96 |        307 |
| c:\Users\mawen\Dev\GitHub\Study\tools\maven\maven-best-practices.md                                                         | Markdown         |        180 |          0 |         54 |        234 |
| c:\Users\mawen\Dev\GitHub\Study\tools\maven\maven-core-concepts.md                                                          | Markdown         |        348 |          0 |        117 |        465 |
| c:\Users\mawen\Dev\GitHub\Study\vim_note.md                                                                                 | Markdown         |         23 |          0 |         15 |         38 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\ZooKeeper详解\README.md                                                                   | Markdown         |        125 |          0 |        100 |        225 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\ZooKeeper详解\ZooKeeper 实战.md                                                             | Markdown         |        202 |          0 |         87 |        289 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\ZooKeeper详解\ZooKeeper 相关概念总结(入门).md                                                     | Markdown         |        174 |          0 |        104 |        278 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\ZooKeeper详解\ZooKeeper 相关概念总结(进阶).md                                                     | Markdown         |        196 |          0 |        171 |        367 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\api-gateway.md                                                                          | Markdown         |        131 |          0 |         81 |        212 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\distributed-id-design.md                                                                | Markdown         |         94 |          0 |         80 |        174 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\distributed-id.md                                                                       | Markdown         |        240 |          0 |        152 |        392 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\distributed-lock-implementations.md                                                     | Markdown         |        272 |          0 |        107 |        379 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\distributed-lock.md                                                                     | Markdown         |         50 |          0 |         35 |         85 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\spring-cloud-gateway-questions.md                                                       | Markdown         |         98 |          0 |         60 |        158 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\理论&算法&协议\CAP & BASE理论.md                                                                | Markdown         |         82 |          0 |         64 |        146 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\理论&算法&协议\Paxos 算法.md                                                                    | Markdown         |         40 |          0 |         35 |         75 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\理论&算法&协议\RBFT算法.md                                                                      | Markdown         |         63 |          0 |         47 |        110 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\理论&算法&协议\Raft 算法.md                                                                     | Markdown         |         95 |          0 |         73 |        168 |
| c:\Users\mawen\Dev\GitHub\Study\分布式\理论&算法&协议\gossip-protocl.md                                                              | Markdown         |         83 |          0 |         63 |        146 |
| c:\Users\mawen\Dev\GitHub\Study\后端通用面试题.md                                                                                  | Markdown         |      2,060 |          0 |      1,372 |      3,432 |
| c:\Users\mawen\Dev\GitHub\Study\操作系统.md                                                                                     | Markdown         |        763 |          0 |        946 |      1,709 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\Kafka.md                                                                               | Markdown         |         77 |          0 |         31 |        108 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\Kafka常见面试题总结.md                                                                        | Markdown         |        126 |          0 |        105 |        231 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\Kafka知识体系.md                                                                           | Markdown         |        610 |          0 |        343 |        953 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\Kafka面经.md                                                                             | Markdown         |        103 |          0 |         86 |        189 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\MQ面经.md                                                                                | Markdown         |        189 |          0 |        139 |        328 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\RabbitMQ基础知识总结.md                                                                      | Markdown         |        186 |          0 |        161 |        347 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\RabbitMQ常见面试题总结.md                                                                     | Markdown         |         80 |          0 |         54 |        134 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\RabbitMq.md                                                                            | Markdown         |        183 |          0 |        145 |        328 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\RocketMQ基础知识总结.md                                                                      | Markdown         |        232 |          0 |        220 |        452 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\RocketMQ常见面试题总结（更新中）.md                                                                | Markdown         |         57 |          0 |         29 |         86 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\disruptor-questions.md                                                                 | Markdown         |         88 |          0 |         53 |        141 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\rocketmq-questions.md                                                                  | Markdown         |        588 |          0 |        347 |        935 |
| c:\Users\mawen\Dev\GitHub\Study\消息队列\消息队列基础常见面试题总结.md                                                                       | Markdown         |        146 |          0 |         96 |        242 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\Network.md                                                                            | Markdown         |        117 |          0 |         81 |        198 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\一次搞定计算机网络，高效修炼程序员内功.md                                                                | Markdown         |         75 |          0 |        153 |        228 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\导读  程序员如何打好计算机领域的基础？.md                                                               | Markdown         |         55 |          0 |        109 |        164 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\计网面经\计算机网络上.md                                                                        | Markdown         |        170 |          0 |        140 |        310 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\计网面经\计算机网络下.md                                                                        | Markdown         |        213 |          0 |        307 |        520 |
| c:\Users\mawen\Dev\GitHub\Study\计算机网络\计网面经\计算机网络经典面试题.md                                                                    | Markdown         |        836 |          0 |      1,197 |      2,033 |
| c:\Users\mawen\Dev\GitHub\Study\设计模式\常见设计模式.md                                                                              | Markdown         |        602 |          0 |        440 |      1,042 |
| c:\Users\mawen\Dev\GitHub\Study\设计模式\常见设计模式导图.md                                                                            | Markdown         |        176 |          0 |        135 |        311 |
| c:\Users\mawen\Dev\GitHub\Study\高可用\冗余设计详解.md                                                                               | Markdown         |         23 |          0 |         18 |         41 |
| c:\Users\mawen\Dev\GitHub\Study\高可用\性能测试入门.md                                                                               | Markdown         |         86 |          0 |         62 |        148 |
| c:\Users\mawen\Dev\GitHub\Study\高可用\服务限流详解.md                                                                               | Markdown         |        137 |          0 |         79 |        216 |
| c:\Users\mawen\Dev\GitHub\Study\高可用\超时&重试详解.md                                                                              | Markdown         |         34 |          0 |         31 |         65 |
| c:\Users\mawen\Dev\GitHub\Study\高可用\高可用系统设计指南.md                                                                            | Markdown         |         39 |          0 |         24 |         63 |
| c:\Users\mawen\Dev\GitHub\Study\高并发\高并发系统设计.md                                                                              | Markdown         |         83 |          0 |         75 |        158 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\CDN（内容分发网络）详解.md                                                                        | Markdown         |         64 |          0 |         50 |        114 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\data-cold-hot-separation.md                                                             | Markdown         |         44 |          0 |         25 |         69 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\deep-pagination-optimization.md                                                         | Markdown         |         69 |          0 |         30 |         99 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\load-balancing.md                                                                       | Markdown         |        160 |          0 |        108 |        268 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\read-and-write-separation-and-library-subtable.md                                       | Markdown         |        176 |          0 |        116 |        292 |
| c:\Users\mawen\Dev\GitHub\Study\高性能\sql-optimization.md                                                                     | Markdown         |         15 |          0 |          5 |         20 |
| Total                                                                                                                       |                  |    108,703 |      1,789 |     38,510 |    149,002 |
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
